Project Number:, Date of Completion or Last PM Check , Next Steps ,Monthly Status,PM
2021- Sherwood - RTU- 4 Rooftop Heating Unit failed burner,Not Completed as of Aug,Completion Check to be sent in November,,Franco D'Angelo
Renaissance Phone System,43831,N/A,,Filipe Felinto
Garden City Nurse Call System,43831,N/A,,Filipe Felinto
Nurse Call - RET,44357,N/A,,Filipe Felinto
Nurse Call System - AXR,44358,N/A,,Filipe Felinto
Door Security - LTC JV,44358,N/A,,Filipe Felinto
2021 LTC IT Resident Safety Nurse Call Capital,Not Complete Aug-21,Completion Check to be sent in Nov-21,,Filipe Felinto
2021 RET IT Resident Safety Nurse Call Capital,Not Complete Aug-21,Completion Check to be sent in Nov-21,,Filipe Felinto
2021 LTC IT Resident Safety Door Security Capital,Not Complete Aug-21,Completion Check to be sent in Nov-21,,Filipe Felinto
2021 RET-JV IT Resident Safety Nurse Call Capital,Not Complete Aug-21,Completion Check to be sent in Nov-21,,Filipe Felinto
2021 LTC-JV IT Resident Safety Nurse Call Capital,Not Complete Aug-21,Completion Check to be sent in Nov-21,,Filipe Felinto
2021 LTC-JV IT Resident Safety Door Security Capital,Not Complete Aug-21,Completion Check to be sent in Nov-21,,Filipe Felinto
2021 Regal IT Resident Safety Nurse Call Capital,Not Complete Aug-21,Completion Check to be sent in Nov-21,,Filipe Felinto
2021 RET-JV IT Resident Safety Door Security Capital,Not Complete Aug-21,Completion Check to be sent in Nov-21,,Filipe Felinto
HCN eMar,43831,Accrual shee to be sent to PM in November,,Diana Franciosa
LTC Emar Project,43831,Accrual shee to be sent to PM in November,,Diana Franciosa
WT Wifi Infrastructure,44166,Accrual shee to be sent to PM in November,,Diana Franciosa
AXR Ops PCC Skin & Wound Application,44166,Accrual shee to be sent to PM in November,,Diana Franciosa
Accenture analytics solution,44044,Accrual shee to be sent to PM in November,,Diana Franciosa
Dynacare Software,44256,Accrual shee to be sent to PM in November,,Diana Franciosa
Kensington Oakville eMar,44256,Accrual shee to be sent to PM in November,,Diana Franciosa
AXR Laptop,44357,Accrual shee to be sent to PM in November,,Diana Franciosa
94165599,Cogir,,,Cogir
94175599,Cogir,,,Cogir
94185599,Cogir,,,Cogir
94195599,Cogir,,,Cogir
94205599,Cogir,,,Cogir
94215599,Cogir,,,Cogir
10140 Pavillon des Cedres,Cogir,,,Cogir
Birkdale Roof,44044,,,Clint Stephenson
The Kensington Oakville - Bar/,44348,,,Clint Stephenson
Kensington Oakville Chiller,44409,,,Clint Stephenson
Appleby Place Elevator,Not Complete Aug-21,Completion Check to be sent in Nov-21,,Clint Stephenson
Churchill Place Elevator,Not Complete Aug-21,Completion Check to be sent in Nov-21,,Clint Stephenson
Churchill Place - 2021 - Elevator,Not Complete Aug-21,Completion Check to be sent in Nov-21,,Clint Stephenson
King Gardens - 2021 - Chiller,44409,,,Clint Stephenson
The Beachwood - 2021 - Soffit repair,44409,,,Clint Stephenson
The Beachwood - 2021 - Exterior Wall Study,44409,,,Clint Stephenson
Williamsburg - pool repair - 2021,44409,,,#N/A
Churchill - Elevator repair - 2021,44409,,,#N/A
Plymouth Amenity Spaces (Inactive),44409,Site Sold - Needs cancelled,,#N/A
Beechwood - 2021- Fire life safety 1,44409,,,Clint Stephenson
Windermere - 2021- Washer Dryer 1,44409,,,#N/A
Appleby - Plumbing 1 -2021,44409,,,#N/A
Briarfield-Shower valve-2021,44409,,,#N/A
King garden-flood repair-2021,44409,,,Clint Stephenson
Churchill - Fire deficiencies1-2021,44409,,,Clint Stephenson
King garden- Kitchen suppression -2021,Not Complete Aug-21,Completion Check to be sent in Nov-21,,Clint Stephenson
The Kensington OAK - 2021 - Exterior FF&E,44409,,,#N/A
Windermere-AV replacement-2021,44409,,,Clint Stephenson
Grandwood - flood repair - 2021,44409,,,#N/A
Williamsburg -HVAC Def- 2021,44409,,,Clint Stephenson
Granite Landing - 2021 - 2nd Flr AL Flooring,44409,,,Clint Stephenson
Williamsburg - 2021 - HVAC,44409,,,#N/A
Williamsburg- washer dryer replacement-2021,44409,,,Clint Stephenson
Beechwood - 2021- Fire door 1,44409,,,#N/A
The Kensington OAK - 2021 -  Exterior Study,44409,,,#N/A
The Beachwood - 2021 - Ceiling tile replacement,44409,,,#N/A
Maplecrest Place - 2021 - Corridors,44409,,,#N/A
King Gardens - 2021 -  Sprinkler System,Not Complete Aug-21,Completion Check to be sent in Nov-21,,Clint Stephenson
2021 LTC IT Site Telephone Capital,Completion Check sent 11/15/2021,,,Charlie Graci [C]
2021 RET IT Site Telephone Capital,Completion Check sent 11/15/2021,,,Charlie Graci [C]
2021 LTC IT Resident Safety CCTV Capital,Completion Check sent 11/15/2021,,,Charlie Graci [C]
2021 RET IT Resident Safety CCTV Capital,Completion Check sent 11/15/2021,,,Charlie Graci [C]
2021 RET-JV IT Resident Safety CCTV Capital,Completion Check sent 11/15/2021,,,Charlie Graci [C]
2021 RET-JV IT Site Telephone Capital,Completion Check sent 11/15/2021,,,Charlie Graci [C]
2021 LTC-JV IT Site Telephone Capital,Completion Check sent 11/15/2021,,,Charlie Graci [C]
2021 LTC-JV IT Resident Safety CCTV Capital,Completion Check sent 11/15/2021,,,Charlie Graci [C]
2021 Regal RET-JV IT Site Telephone Capital,Completion Check sent 11/15/2021,,,Charlie Graci [C]
Hollyburn House - 2021 - Suite Renderings,44354,Accrual sheet to be sent to PM in August.,,Cameron Scully
Hollyburn House - 2021 - Design development,Not Complete as of 06/07/2021,Completion check to be sent in August.,,Cameron Scully
Scenic Acres - 2021 - Public Space Reno,Not Complete as of 06/07/2021,Completion check to be sent in August.,,Cameron Scully
McKenzie Towne - 2021 - Design development,Not Complete as of 06/07/2021,Completion check to be sent in August.,,Cameron Scully
Scenic Acres Public Spaces Reno,Not Complete 06-21,Completion check to be sent in August.,,Adam Moy
Birkdale - 2021 - Roof,Not Complete 06-21,Completion check to be sent in August.,,Cameron Scully
The Annex  - 2021 -  Public Space Renovation,Not Complete as of 06/07/2021,Completion check to be sent in August.,,Cameron Scully
The Kingsway - 2021 - Public Space Renovation,Not Complete as of 06/07/2021,Completion check to be sent in August.,,Cameron Scully
Whitecliff - 2021 - Public Space Reno,New project. Completion check not sent.,Completion check to be sent in August.,,Cameron Scully
Brierwood Apts - 2021 - In-Suite Renovations,44348,Accrual sheet to be sent to PM in August.,,Andrew Higgs
Brierwood Gardens - 2021 - In-Suite Renovations,44348,Accrual sheet to be sent to PM in August.,,Andrew Higgs
Riverbend Place - 2021 - In-Suite Renovations,44348,Accrual sheet to be sent to PM in August.,,Andrew Higgs
Forest Hill - 2021 - In-Suite Renovations,44348,Accrual sheet to be sent to PM in August.,,Andrew Higgs
Williamsburg - 2021 - In-Suite Renovations,44348,Accrual sheet to be sent to PM in August.,,Andrew Higgs
Westney Gardens - 2021 - In-Suite Renovations,44348,Accrual sheet to be sent to PM in August.,,Andrew Higgs
Granite Landing - 2021 - In-Suite Renovations,44348,Accrual sheet to be sent to PM in August.,,Andrew Higgs
Churchill Place - 2021 - In-Suite Renovations,44348,Accrual sheet to be sent to PM in August.,,Andrew Higgs
Briarfield Gardens - 2021 - In-Suite Renovations,44348,Accrual sheet to be sent to PM in August.,,Andrew Higgs
Rayoak Place - 2021 - In-Suite Renovations,44348,Accrual sheet to be sent to PM in August.,,Andrew Higgs
Fleetwood Villa - 2021 - In-Suite Renovations,44348,Accrual sheet to be sent to PM in August.,,Andrew Higgs
Parkwood Court - 2021 - In-Suite Renovations,44348,Accrual sheet to be sent to PM in August.,,Andrew Higgs
The Westwood - 2021 - In-Suite Renovations,44409,Remaining PO's will be sent for completion check in Nov.,,Andrew Higgs
The Dorchester - 2021 - In-Suite Renovations,44348,Accrual sheet to be sent to PM in August.,,Andrew Higgs
Stittsville Villa - 2021 - In-Suite Renovations,44348,Accrual sheet to be sent to PM in August.,,Andrew Higgs
Portobello - 2021 - In-Suite Renovations,44348,Remaining PO's will be sent for completion check in Nov.,,Andrew Higgs
Alta Vista - 2021 - In-Suite Renovations,44348,Accrual sheet to be sent to PM in August.,,Andrew Higgs
Barrhaven - 2021 - In-Suite Renovations,44348,Accrual sheet to be sent to PM in August.,,Andrew Higgs
Inglewood - 2021 - In-Suite Renovations,44348,Accrual sheet to be sent to PM in August.,,Andrew Higgs
King Gardens - 2021 - In-Suite Renovations,44348,Accrual sheet to be sent to PM in August.,,Andrew Higgs
River Ridge - 2021 - In-Suite Renovations,44348,Accrual sheet to be sent to PM in August.,,#N/A
Waverly & Rosewood - 2021 - In-Suite Renovations,44348,Accrual sheet to be sent to PM in August.,,Andrew Higgs
Whitecliff - 2021 - In-Suite Renovations,44348,Accrual sheet to be sent to PM in August.,,Andrew Higgs
The Kensington OAK - 2021 - In-Suite Renovations,44348,Accrual sheet to be sent to PM in August.,,Andrew Higgs
Riverbend - 2021 - In-Suite Renovations,44348,Accrual sheet to be sent to PM in August.,,Andrew Higgs
Colonel By - 2021 - In-Suite Renovations,44348,Accrual sheet to be sent to PM in August.,,Andrew Higgs
Evergreen - 2021 - In-Suite Renovations,44348,Accrual sheet to be sent to PM in August.,,Andrew Higgs
Bradgate Arms - 2021 - In-Suite Renovations,44348,Accrual sheet to be sent to PM in August.,,Andrew Higgs
The Beechwood - 2021 - In-Suite Renovations,44348,Accrual sheet to be sent to PM in August.,,Andrew Higgs
McKenzie Towne - 2021 - In-Suite Renovations,44348,Accrual sheet to be sent to PM in August.,,Andrew Higgs
Holyburn House - 2021 - In-Suite Renovations,44348,Accrual sheet to be sent to PM in August.,,Andrew Higgs
Maplecrest Place - 2021 - In-Suite Renovations,44348,Accrual sheet to be sent to PM in August.,,Andrew Higgs
Hunt Club - 2021 - In-Suite Renovations,44348,Accrual sheet to be sent to PM in August.,,Andrew Higgs
Cedarcroft Place - 2021 - In-Suite Renovations,44348,Accrual sheet to be sent to PM in August.,,Andrew Higgs
Forest Hill - 2021 - In-Suite Renovations,44348,Accrual sheet to be sent to PM in August.,,Andrew Higgs
The Heartland - 2021 - In-Suite Renovations,44348,Accrual sheet to be sent to PM in August.,,Andrew Higgs
Prince of Wales - 2021 - In-Suite Renovations,44348,Accrual sheet to be sent to PM in August.,,Andrew Higgs
Birkdale - 2021 - In-Suite Renovations,44348,Accrual sheet to be sent to PM in August.,,Andrew Higgs
Windsor Park - 2021 - In-Suite Renovations,44348,Accrual sheet to be sent to PM in August.,,Andrew Higgs
Renaissance - 2021 - In-Suite Renovations,44348,Accrual sheet to be sent to PM in August.,,Andrew Higgs
Telfer Place Multi - 2021 - In-Suite Renovations,44348,Accrual sheet to be sent to PM in August.,,Andrew Higgs
Green Falls Landing - 2021 - In-Suite Renovations,44348,Completion check to be sent in Nov for new PO's.,,Andrew Higgs
The Village Srs Multi - 2021 - In-Suite Renovations,44409,Completion check to be sent in Nov for new PO's.,,#N/A
Trafalgar Lodge - 2021 - In-Suite Renovations,44348,Accrual sheet to be sent to PM in August.,,Andrew Higgs
Bentley Swift Current - 2021 - In-Suite Renovations,44348,Accrual sheet to be sent to PM in August.,,Andrew Higgs
Victoria Place  - 2021 - In-Suite Renovations,44348,Accrual sheet to be sent to PM in August.,,Andrew Higgs
Heritage Lodge - 2021 - In-Suite Renovations,44348,Accrual sheet to be sent to PM in August.,,Andrew Higgs
Port Perry - 2021 - In-Suite Renovations,44348,Accrual sheet to be sent to PM in August.,,Andrew Higgs
Leaside - 2021 - In-Suite Renovations,44348,Accrual sheet to be sent to PM in August.,,Andrew Higgs
St.Lawrence Place - 2021 - In-Suite Renovations,44348,Accrual sheet to be sent to PM in August.,,Andrew Higgs
Portsmouth - 2021 - In-Suite Renovations,44348,Accrual sheet to be sent to PM in August.,,Andrew Higgs
Parkwood Manor - 2021 - In-Suite Renovations,44348,Accrual sheet to be sent to PM in August.,,Andrew Higgs
Queenswood Villa - 2021 - In-Suite Renovations,44348,Accrual sheet to be sent to PM in August.,,Andrew Higgs
Don Mills - 2021 - In-Suite Renovations,44348,Accrual sheet to be sent to PM in August.,,Andrew Higgs
The Edinburgh - 2021 - In-Suite Renovations,44348,Accrual sheet to be sent to PM in August.,,Andrew Higgs
Cambridge - 2021 - In-Suite Renovations,44348,Accrual sheet to be sent to PM in August.,,Andrew Higgs
Landmark Court - 2021 - In-Suite Renovations,44348,Accrual sheet to be sent to PM in August.,,Andrew Higgs
Marian Chateau - 2021 - In-Suite Renovations,44348,Accrual sheet to be sent to PM in August.,,Andrew Higgs
Sunwood - 2021 - In-Suite Renovations,44348,Accrual sheet to be sent to PM in August.,,Andrew Higgs
Bridlewood Manor - 2021 - In-Suite Renovations,44348,Accrual sheet to be sent to PM in August.,,Andrew Higgs
The Edgemont - 2021 - In-Suite Renovations,44348,Accrual sheet to be sent to PM in August.,,Andrew Higgs
The Wellington - 2021 - In-Suite Renovations,44348,Accrual sheet to be sent to PM in August.,,Andrew Higgs
Aspen Ridge - 2021 - In-Suite Renovations,44348,Accrual sheet to be sent to PM in August.,,Andrew Higgs
Appleby Place - 2021 - In-Suite Renovations,44348,Accrual sheet to be sent to PM in August.,,Andrew Higgs
Ogilvie Villa - 2021 - In-Suite Renovations,44348,Accrual sheet to be sent to PM in August.,,Andrew Higgs
Constitution Place - 2021 - In-Suite Renovations,44348,Accrual sheet to be sent to PM in August.,,Andrew Higgs
Centennial Place - 2021 - In-Suite Renovations,44348,Accrual sheet to be sent to PM in August.,,Andrew Higgs
Lynwood - 2021 - In-Suite Renovations,44348,Accrual sheet to be sent to PM in August.,,Andrew Higgs
Chateau Renoir - 2021 - In-Suite Renovations,44348,Accrual sheet to be sent to PM in August.,,Andrew Higgs
Bentley Saskatoon - 2021 - In-Suite Renovations,44348,Accrual sheet to be sent to PM in August.,,Andrew Higgs
Grandwood Park - 2021 - In-Suite Renovations,44409,,,Andrew Higgs
Village on the Ridge Multi - 2021 - In-Suite Renovations,44454,Remaining PO's will be sent for completion check in Nov.,,Andrew Higgs
Blenheim Multi - 2021 - In-Suite Renovations,44454,Remaining PO's will be sent for completion check in Nov.,,Andrew Higgs
Scenic Acres - 2021 - In-Suite Renovations,44454,Remaining PO's will be sent for completion check in Nov.,,Andrew Higgs
Bough Beeches - 2021 - In-Suite Renovations,44454,Remaining PO's will be sent for completion check in Nov.,,Andrew Higgs
Crofton Manor - 2021 - In-Suite Renovations,44454,Remaining PO's will be sent for completion check in Nov.,,Andrew Higgs
Greenway - 2021 - In-Suite Renovations,44454,,,#N/A
The Annex  - 2021 - In-Suite Renovations,44454,,,Andrew Higgs
Parkwood Place - 2021 - In-Suite Renovations,44454,,,Andrew Higgs
Windermere - 2021 - In-Suite Renovations,44454,,,Andrew Higgs
Donway Place - 2021 - In-Suite Renovations,44440,Remaining PO's will be sent for completion check in Nov.,,Andrew Higgs
Bentley Regina - 2021 - In-Suite Renovations,44454,Remaining PO's will be sent for completion check in Nov.,,Andrew Higgs
Valley Stream - 2021 - In-Suite Renovations,New project. Completion check not sent.,Completion check to be sent in August.,,Andrew Higgs
Bentley Moose Jaw - 2021 - In-Suite Renovations,New project. Completion check not sent.,Completion check to be sent in August.,,Andrew Higgs
The Franklin - 2021 - In-Suite Renovations,New project. Completion check not sent.,Completion check to be sent in August.,,Andrew Higgs
The Kensington BC - 2021 - In-Suite Renovations,44454,Remaining PO's will be sent for completion check in Nov.,,Andrew Higgs
Culinary LTC 100% Owned - 2021 - Emergency Contingency,,,,Andrew Higgs
The Claremont - 2021 - In-Suite Renovations,New project. Completion check not sent.,Completion check to be sent in August.,,Andrew Higgs
Glynnwood - 2021 - In-Suite Renovations,New project. Completion check not sent.,Completion check to be sent in August.,,Andrew Higgs
Bradgate Interior Reno,Completion Check Sent on May 3rd 2021,Completion check to be sent in August.,,Andrew Bautista
Bradgate Arms Interior Reno,Completion Check Sent on May 3rd 2021,Completion check to be sent in August.,,Andrew Bautista
Donway Chiller,Completion Check Sent on May 3rd 2021,Completion check to be sent in August.,,Andrew Bautista
Forest Hill Pavement & Balcony,44277,Accrual sheet to be sent to PM in August.,,Andrew Bautista
Glynnwood Fire Exit,Completion Check Sent on May 3rd 2021,Completion check to be sent in August.,,Andrew Bautista
Don Mills Elevator,Completion Check Sent on May 3rd 2021,Completion check to be sent in August.,,Andrew Bautista
Don Mills Apartments - 2021 - Fire Deficiencies,Not Complete 06-21,Completion check to be sent in August.,,Andrew Bautista
Fosterbrooke - Q2/Q4 - IPAC Capital Fund,New project. Completion check not sent.,Completion check to be sent in August.,,Andrew Bautista
Fosterbrook Place - 2021 - Replace ceiling lift in tub room,New project. Completion check not sent.,Completion check to be sent in August.,,Andrew Bautista
Mackenzie Place - Q2/Q4 - IPAC Capital Fund,New project. Completion check not sent.,Completion check to be sent in August.,,Andrew Bautista
Leaside - 2021 - Kitchen Floor,New project. Completion check not sent.,Completion check to be sent in August.,,Andrew Bautista
Bradgate Arms - 2021 - Amenity Space,New project. Completion check not sent.,Completion check to be sent in August.,,Andrew Bautista
2021 - Forest Hill - Resident Washer & Dryer Replacement,New project. Completion check not sent.,Completion check to be sent in August.,,Andrew Bautista
Oak Terrace - Q2/Q4 - IPAC Capital Fund,,,,Andrew Bautista
ThorntonView - Q2/Q4 - IPAC Capital Fund,,,,#N/A
Fosterbrook Place - 2021 - Q2/Q4 Minor Capital Fund C,,,,Andrew Bautista
Thorntonview - 2021 - Q2/Q4 Minor Capital Fund C,,,,Andrew Bautista
ReachView Village - Q2/Q4 - IPAC Capital Fund,,,,#N/A
Annex - 2021 - Retaining Wall Consultant Review,,,,Andrew Bautista
Bradgate Arms - 2021 - Consultant Review Resident Room Floor Sagging,,,,Andrew Bautista
Maples PCH - Generator,43983,Accrual Sheet sent 08/27/2021,,Alex Bruce
The Bentley Moose Jaw - Balcony,43983,Accrual sheet to be sent to PM in August.,,Alex Bruce
Charleswood - HVAC Chiller Upgrade,43983,Accrual sheet to be sent to PM in August.,,Alex Bruce
Portsmouth Roof,44044,Accrual sheet to be sent to PM in August.,,Alex Bruce
Parkview Place Care Centre - R,44250,Accrual sheet to be sent to PM in August.,,Alex Bruce
Dover Cliffs Faucet Replacement,Not Complete as of 02/23/2021,Completion check to be sent in August.,,#N/A
LE2503 Ontario IPAC Minor Capital Funding,44256,N/A - IPAC,,Alex Bruce
LE1002 Ontario IPAC Minor Capital Funding,44256,Accrual sheet to be sent to PM in August.,,Alex Bruce
LE1043 Ontario IPAC Minor Capital Funding,44263,Accrual sheet to be sent to PM in August.,,Alex Bruce
LE1039 Ontario IPAC Minor Capital Funding,New project. Completion check to be sent May 2021,Completion check to be sent in August.,,Alex Bruce
LE2503 Ontario IPAC Minor Capital Funding,N/A - IPAC,N/A - IPAC,,Alex Bruce
Hillside Manor - FF&E - Move Line,44348,Accrual sheet to be sent to PM in August.,,Alex Bruce
LE1037 Ontario IPAC Minor Capital Funding,44348,Accrual sheet to be sent to PM in August.,,Alex Bruce
Ridgeview-2021-FF&E Mass Environmental,44348,Accrual sheet to be sent to PM in August.,,Alex Bruce
Sara Vista-2021-FF&E Mass Environmental,New project. Completion check not sent.,Completion check to be sent in August.,,#N/A
Hillside Manor - 2021 - FF&E Move Line,New project. Completion check not sent.,Completion check to be sent in August.,,#N/A
ThorntonView - 2021 - FF&E Move Line,New project. Completion check not sent.,Completion check to be sent in August.,,#N/A
Brierwood Gardens - 2021 - FF&E Move Line,New project. Completion check not sent.,Completion check to be sent in August.,,#N/A
Riverbend Place - 2021 - FF&E Move Line,New project. Completion check not sent.,Completion check to be sent in August.,,Alex Bruce
Blenheim - 2021 - FF&E Move Line 2,New project. Completion check not sent.,Completion check to be sent in August.,,Alex Bruce
Heartwood-2021-FF&E Move Line,New project. Completion check not sent.,Completion check to be sent in August.,,Alex Bruce
Mackenzie Place - 2021 - FF&E Mass Environmental,New project. Completion check not sent.,Completion check to be sent in August.,,Alex Bruce
Winbourne Park-2021-Move Line,New project. Completion check not sent.,Completion check to be sent in August.,,Alex Bruce
Iler Lodge-2021-FF&E Move Line,New project. Completion check not sent.,Completion check to be sent in August.,,Alex Bruce
The Meadows - 2021 - FF&E Move Line,New project. Completion check not sent.,Completion check to be sent in August.,,Alex Bruce
Northridge - 2021 - FF&E Mass Environmental,New project. Completion check not sent.,Completion check to be sent in August.,,Alex Bruce
Bradgate Arms Interior FF&E,44348,Accrual sheet to be sent to PM in August.,,Adam Moy
Bay Ridges Exterior Wall Cladding,New Project,Completion check to be sent in August.,,Adam Moy
Lynwood Park Roof,44044,Accrual sheet to be sent to PM in August.,,Adam Moy
LE2503 Carts Retrofit,Transferred & Disposed,Completion check to be sent in August.,,Adam Moy
Dorchester Patio Slab,Not Complete 06-21,Completion check to be sent in August.,,#N/A
LE2501 Minor capital funding,44263,Accrual sheet to be sent to PM in August.,,Adam Moy
AXR Cleaning Equipment,44256,Accrual sheet to be sent to PM in August.,,Adam Moy
AXR BC Cleaning Equipment,44256,Accrual sheet to be sent to PM in August.,,Adam Moy
LE1011Faucet/Soap Dispenser Project,44263,Accrual sheet to be sent to PM in August.,,Adam Moy
LTC Cleaning Equipment,44263,Accrual sheet to be sent to PM in August.,,Adam Moy
LE1011 Ontario IPAC Minor Capital Funding,44256,Accrual sheet to be sent to PM in August.,,Adam Moy
RET Cleaning Equipment,44263,Accrual sheet to be sent to PM in August.,,Adam Moy
Leaside Elevator,44348,Accrual sheet to be sent to PM in August.,,Adam Moy
Kingsway Public Spaces Reno,Not Complete 06-21,Completion check to be sent in August.,,Adam Moy
The Annex Public Spaces Reno,Not Complete 06-21,Completion check to be sent in August.,,Adam Moy
McKenzie Towne Retirement Public Spaces Reno,Not Complete 06-21,Completion check to be sent in August.,,Adam Moy
Whitecliff Public Spaces Reno,Not Complete 06-21,Completion check to be sent in August.,,Adam Moy
The Dorchester Building Envelope,Not Complete 06-21,Completion check to be sent in August.,,#N/A
Regal Generator Condition Report,Not Complete 06-21,Completion check to be sent in August.,,Adam Moy
WT Generator Condition Reports,Not Complete 06-21,Completion check to be sent in August.,,Adam Moy
Regal Generator Condition Report,Not Complete 06-21,Completion check to be sent in August.,,Adam Moy
WT Generator Condition Reports,Not Complete 06-21,Completion check to be sent in August.,,Adam Moy
LE1011 Ontario Minor Capital Funding,Completion Status Sent May 14 -2021,Completion check to be sent in August.,,Adam Moy
Kingsway Public Spaces Reno,Not Complete 06-21,Completion check to be sent in August.,,Adam Moy
McKenzie Towne Retirement Public Spaces Reno,Not Complete 06-21,Completion check to be sent in August.,,Adam Moy
Hollyburn House Public Spaces Reno,Not Complete 06-21,Completion check to be sent in August.,,Adam Moy
LE1037 Ontario Minor Capital Funding,New project. Completion check not sent.,Completion check to be sent in August.,,Adam Moy
LE1002 Ontario Minor capital funidng,New project. Completion check not sent.,Completion check to be sent in August.,,Adam Moy
The Annex - 2021 - Respite/Model Suites,New project. Completion check not sent.,Completion check to be sent in August.,,Adam Moy
Leaside - 2021 - Respite/Model Suites,New project. Completion check not sent.,Completion check to be sent in August.,,Adam Moy
The Churchill - 2021 - Respite/Model Suites,New project. Completion check not sent.,Completion check to be sent in August.,,Adam Moy
Glenwarren - 2021 - Header above Front Entrance,New project. Completion check not sent.,Completion check to be sent in August.,,Adam Moy
The Claremont - 2021 - Respite/Model Suites,,,,Adam Moy
Windsor Park - 2021 - Respite/Model Suites,,,,Adam Moy
Aspen Ridge - 2021 - Respite/Model Suites,,,,Adam Moy
The Westwood - 2021 - Respite/Model Suites,,,,Adam Moy
Meadowlands - 2021- Respite/Model Suites,,,,Adam Moy
LTC Wi-fi,44136,Accrual Sheet to be sent in Nov-21,,Adam Deganis
AXR Wi-Fi Refresh,44044,Accrual Sheet to be sent in Nov-21,,Adam Deganis
Dorchester Wi-fi,44136,Accrual Sheet to be sent in Nov-21,,Adam Deganis
St. Lawrence Wi-fi,44348,Accrual Sheet to be sent in Nov-21,,Adam Deganis
The Franklin Wi-Fi,44250,Accrual Sheet to be sent in Nov-21,,Adam Deganis
Wi-Fi Project - Renaissance,44250,Accrual Sheet to be sent in Nov-21,,Adam Deganis
Signature UK,Third Party project,,,0
Bayview & Major Mackenzie (Sma,New project. Completion check not sent.,Completion check to be sent in August.,,0
Oakville Hopedale RET Res (Sma,New project. Completion check not sent.,Completion check to be sent in August.,,0
Vaughan RET Residence (Smart J,New project. Completion check not sent.,Completion check to be sent in August.,,0
Vaughan Senior apartments (Sma,,,,0
Portsmouth - Fire System - 2021,New Project,Completion Check to be sent in November,,Malcolm Holbrow
Portsmouth - 2021 - Roof replacement,New Project,Completion Check to be sent in November,,Malcolm Holbrow
The Bentley Swift Current - 2021 - Roof Condition Analysis,New Project,Completion Check to be sent in November,,Malcolm Holbrow
Bentley Saskatoon - 2021 - Parking lot,New Project,Completion Check to be sent in November,,Malcolm Holbrow
The Bentley Moose Jaw - Hot Water Tank Replacement (2nd),New Project,Completion Check to be sent in November,,Malcolm Holbrow
Bentley Moose Jaw - 2021 - Balcony Rehab,New Project,Completion Check to be sent in November,,Malcolm Holbrow
The Waverley and Rosewood - 2021 - AC Repairs,New Project,Completion Check to be sent in November,,Malcolm Holbrow
The Bentley Regina - 2021 - Compressor Replacement,New Project,Completion Check to be sent in November,,Malcolm Holbrow
Heritage Lodge - AC 2nd Floor - WRHA Co-funded Project,New Project,Completion Check to be sent in November,,Malcolm Holbrow
Kildonan - 2021 - HWT replacement,New Project,Completion Check to be sent in November,,Malcolm Holbrow
2021 Regal RET-JV IT Resident Safety CCTV Capital,Completion Check sent 11/15/2021,,,Charlie Graci [C]
Mackenzie Place_2021_Freezer,New Project,Completion Check to be sent in November,,Nick Calina
Poseidon Care Centre_2021_Food Cart,New Project,Completion Check to be sent in November,,Nick Calina
Kennedy Lodge - 2021 - Kitchen FF&E,New Project,Completion Check to be sent in November,,Lee Dunlop
Pinecrest Manor_2021_Blixer,New Project,Completion Check to be sent in November,,Nick Calina
Kilean Lodge-2021-Elevator Room AC,New Project,Completion Check to be sent in November,,Tim Morrison
The Village Srs Multi - 2021 - Parking Lot,New Project,Completion Check to be sent in November,,Tim Morrison
Telfer Place-2021-2021 Fire Deficiencies,New Project,Completion Check to be sent in November,,Tim Morrison
The Village Srs Multi - 2021 - Patio Doors/Window Glass Replacement,New Project,Completion Check to be sent in November,,Tim Morrison
Garden City Manor - 2021 - Exterior Improvements,New Project,Completion Check to be sent in November,,Tim Morrison
2021 - SO - Enterprise Risk Management Solution Capital,New Project,Completion Check to be sent in November,,Diana Franciosa
Colonel_2021_Cold Table,New Project,Completion Check to be sent in November,,Nick Calina
West Oak Village - Q2/Q4 - IPAC Capital Fund,N/A - IPAC,N/A - IPAC,,Tim Morrison
Burloak - Q2/Q4 - IPAC Capital Fund,N/A - IPAC,N/A - IPAC,,Tim Morrison
SherwoodCourt_2021_Blixer,New Project,Completion Check to be sent in November,,Nick Calina
Royal City Manor_2021_Blixer,New Project,Completion Check to be sent in November,,Nick Calina
McConachie Gardens - 2021 - Grading repairs,New Project,Completion Check to be sent in November,,Trevor Shoemaker
Chateau Renoir - 2021 - Roof,New Project,Completion Check to be sent in November,,Trevor Shoemaker
The Heartland - 2021 - BAS upgrades,New Project,Completion Check to be sent in November,,Trevor Shoemaker
The Heartland - 2021 - Dining Room FF&E,New Project,Completion Check to be sent in November,,Trevor Shoemaker
Scenic Acres - 2021 -Walk Ins,New Project,Completion Check to be sent in November,,Trevor Shoemaker
Aspen Ridge - 2021 - Dining Room Flooring,New Project,Completion Check to be sent in November,,Trevor Shoemaker
The Churchill - 2021 - Domestic hot water tank #2replacement,New Project,Completion Check to be sent in November,Completion Check Ready to be Sent,Hazel D'Gama
Jasper Place - 2021 - Parking Lots,New Project,Completion Check to be sent in November,,Trevor Shoemaker
Bow Crest - 2021 - Dining Room RTU,New Project,Completion Check to be sent in November,,Trevor Shoemaker
