Project Number:, Date of Completion or Last PM Check , Next Steps ,Monthly Status,PM
2021 - RET - Revenue Management Advanced Analytics Capital,New Project,Completion Check to be sent in November,,Kristina Ioudine
2021 LTC IT Refresh & Growth Endpoint Capital,New Project,Completion Check to be sent in November,,Joan Dewaele
Whitecliff - 2021 - Elevators,New Project,Completion Check to be sent in November,,Trevor Shoemaker
Portobello - 2021 - Elevator flooring  replacement,New Project,Completion Check to be sent in November,,Franco D'Angelo
2021 - RET JV - Workforce Management,New Project,Completion Check to be sent in November,,Kristina Ioudine
2021 - RET JV - Revenue Management Advanced Analytics Capital,New Project,Completion Check to be sent in November,,Kristina Ioudine
2021- Windsor Park - Annual Fire Defics .,New Project,Completion Check to be sent in November,,Franco D'Angelo
Westwood - 2021 - B1 & B2 Fire & Life Safety Compliance,New Project,,Completion Check Ready to be Sent,Kerrsten Norwood
Briarfield - Roof investigation 1 - 2021,New Project,Completion Check to be sent in November,,Clint Stephenson
Hunt Club - 2021 - Canopy Roof,New Project,Completion Check to be sent in November,,Franco D'Angelo
Inglewood - 2021 - Respite/Model Suites,New Project,Completion Check to be sent in November,,Adam Moy
Crofton Manor - Kitchen exhaust Fan Replacement,New Project,Completion Check to be sent in November,,Josh Guy
Alta Vista -2021- Exterior walking path Light post power feed,New Project,Completion Check to be sent in November,,Franco D'Angelo
Alta Vista - 2021 - Respite/Model Suites,New Project,Completion Check to be sent in November,,Adam Moy
Heritage Lodge - 2021 -  - Kitchen stove replacement motor / blower wheel,New Project,Completion Check to be sent in November,,Franco D'Angelo
Donway Place - 2021 - Chiller,New Project,Completion Check to be sent in November,,Andrew Bautista
Heritage Lodge - 2021 - Courtyard Door Replacement,New Project,Completion Check to be sent in November,,Franco D'Angelo
2021-Alta Vista - Kitchen MUA compressor replacement,New Project,Completion Check to be sent in November,,Franco D'Angelo
Beechwood - 2021- Gas line replace,New Project,Completion Check to be sent in November,,Clint Stephenson
2021- Heritage - Walk in Keeprite Replace evaporator fan motor,New Project,Completion Check to be sent in November,,Franco D'Angelo
Valley Stream - 2021 - Main Floor Renovation,New Project,,Completion Check Ready to be Sent,Kerrsten Norwood
2021 - Queenswood Villa - Cracked reception window,New Project,Completion Check to be sent in November,,Franco D'Angelo
The Wellington - 2021 - Domestic Water System,New Project,Completion Check to be sent in November,,Trevor Shoemaker
Evergreen_2021_StandupFridge,New Project,Completion Check to be sent in November,,Nick Calina
Valley Stream - 2021 - Basement Amenities Reinstate (Emergency,New Project,,Completion Check Ready to be Sent,Kerrsten Norwood
Colonel By - 2021 -  Resident Suite Abatement & Reinstate (Emergency),New Project,,Completion Check Ready to be Sent,Kerrsten Norwood
Sunwood - 2021 - Interior Design Fees,New Project,Completion Check to be sent in November,Completion Check Ready to be Sent,Hazel D'Gama
Valley Stream - 2021 - Brick Repointing,New Project,,Completion Check Ready to be Sent,Kerrsten Norwood
2021- Heritage Lodge - Replacement of  failed toilets,New Project,Completion Check to be sent in November,,Franco D'Angelo
Appleby Place - 2021 - Supply and install load bank,New Project,Completion Check to be sent in November,,Clint Stephenson
The Churchill - 2021 - In-Suite Renovations,New Project,Completion Check to be sent in November,,Andrew Higgs
Rayoak_2021_Electricalwork,New Project,Completion Check to be sent in November,,Nick Calina
The Edgemont - 2021 - Kitchen Exhaust Fan,New Project,Completion Check to be sent in November,Completion Check Ready to be Sent,Hazel D'Gama
Fleetwood Villa_2021_Ice Machine,New Project,Completion Check to be sent in November,,Nick Calina
Whitecliff - 2021 - Flooring Restoration,New Project,Completion Check to be sent in November,,Josh Guy
Chateau Renoir - 2021 - Convection Oven,New Project,Completion Check to be sent in November,,Joshua Reed
The Westwood - 2021 - B2 - FAP & Devices,New Project,,Completion Check Ready to be Sent,Kerrsten Norwood
The Kingsway - 2021 - HVAC,New Project,Completion Check to be sent in November,,Clint Stephenson
Marian Chateau - 2021 - Landscaping,New Project,Completion Check to be sent in November,,Malcolm Holbrow
Portobello_2021_Fryer,New Project,Completion Check to be sent in November,,Nick Calina
Churchill Place - 2021 - Dining Room,New Project,Completion Check to be sent in November,,Clint Stephenson
2021-Alta Vista - 323 Overflow of toilet .,New Project,Completion Check to be sent in November,,Franco D'Angelo
Westwood - 2021 - Bariatric Dining Room Chair,New Project,,Completion Check Ready to be Sent,Kerrsten Norwood
The Kensington - 2021 - Call Bell,New Project,Completion Check to be sent in November,Completion Check Ready to be Sent,Hazel D'Gama
Scenic Acres - 2021 - Attic insulation & ventilation upgrades,New Project,Completion Check to be sent in November,,Trevor Shoemaker
Bentley Regina - 2021 - Sidewalks,New Project,Completion Check to be sent in November,,Malcolm Holbrow
Aspen Ridge - 2021 - Kitchen Flooring,New Project,Completion Check to be sent in November,,Trevor Shoemaker
Bentley Saskatoon - 2021 - Serveries,New Project,Completion Check to be sent in November,,Malcolm Holbrow
The Heartland - 2021 - Amenity Space,New Project,Completion Check to be sent in November,,Trevor Shoemaker
